,PM10,PM25,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd,tp
2022-11-17 05:00:00,51.0,23.0,0.412308394908905,0.3135234117507934,0.2219944894313812,0.5817660689353943,0.9710000157356262,286.38,57.23,985.54,100157.54,1.735,262.384,0.0
2022-11-17 06:00:00,37.0,19.0,0.477662444114685,0.3632193505764007,0.2571823596954345,0.2467142343521118,1.2920000553131104,286.39,56.756,1002.0,100170.98,1.741,268.354,0.0
2022-11-18 01:00:00,77.0,50.0,0.3180020451545715,0.2418120056390762,0.1712182164192199,1.198536396026611,1.9299999475479128,281.23,86.781,56.5,100649.43,0.485,57.619,0.0
2022-11-18 02:00:00,49.0,27.0,0.280287504196167,0.2131334543228149,0.1509119868278503,1.3692976236343384,1.4880000352859497,284.07,67.514,230.95,100628.69,0.459,20.41,0.0
2022-11-18 03:00:00,17.0,13.0,0.2714464366436004,0.2064105868339538,0.1461517959833145,1.4210760593414309,0.8790000081062317,285.88,54.521,624.96,100584.51,1.002,335.225,0.0
2022-11-18 04:00:00,22.0,17.0,0.2624962627887726,0.1996048092842102,0.1413328647613525,1.8402042388916016,0.31700000166893,286.69,57.309,721.79,100510.18,1.459,325.33,0.0
2022-11-18 05:00:00,27.0,18.0,0.2642661333084106,0.2009506076574325,0.1422857940196991,1.7332264184951782,0.4830000102519989,287.13,59.932,795.55,100438.54,1.65,323.13,0.0
2022-11-18 06:00:00,26.0,16.0,0.1966612488031387,0.149543210864067,0.1058860644698143,1.888385534286499,0.7120000123977661,287.17,61.275,839.65,100408.96,1.78,321.843,0.0
2022-11-19 01:00:00,37.0,27.0,0.3444108963012695,0.2623838782310486,0.1860806792974472,0.2908469438552856,2.1610000133514404,283.52,77.951,129.28,100390.13,1.082,86.292,0.0
2022-11-19 03:00:00,23.0,18.0,0.3819952309131622,0.2904730439186096,0.205673336982727,0.3614475727081299,1.0149999856948853,286.94,62.668,673.16,100262.6,1.995,116.18,0.0
2022-11-19 04:00:00,15.0,14.0,0.2791867852210998,0.2122964709997177,0.1503193527460098,1.2739570140838623,0.5270000100135803,287.74,58.612,880.7,100131.22,2.271,128.384,0.0
2022-11-19 05:00:00,17.0,10.0,0.1683700680732727,0.1280303299427032,0.0906535685062408,1.8273277282714844,0.2080000042915344,288.29,55.493,1060.06,100048.06,2.18,137.231,0.0
2022-11-19 06:00:00,15.0,8.0,0.1171270161867141,0.0890645608305931,0.0630633533000946,2.2199811935424805,0.2529999911785126,288.44,53.724,1076.3,100009.64,1.854,142.45,0.0
2022-11-20 01:00:00,34.0,26.0,0.4019722938537597,0.3059061169624328,0.216748371720314,0.6534954309463501,2.407999992370605,283.36,81.201,87.03,100035.0,0.761,65.12,0.0
2022-11-20 02:00:00,34.0,22.0,0.2779536247253418,0.2113587707281112,0.1496554017066955,0.8837078809738159,1.8639999628067017,286.49,70.711,271.42,100006.57,0.47,90.0,0.0
2022-11-20 03:00:00,26.0,20.0,0.2279172539710998,0.1733105480670929,0.122714877128601,1.2981536388397217,1.156000018119812,287.92,66.673,594.69,99971.23,0.372,203.806,0.0
2022-11-20 04:00:00,21.0,15.0,0.2353142648935318,0.1789353042840957,0.1266975700855255,1.6824560165405271,0.6790000200271606,288.71,60.067,844.37,99874.43,0.793,240.524,0.0
2022-11-20 05:00:00,20.0,17.0,0.4088433682918548,0.284416139125824,0.1933129131793975,0.6938059329986572,0.4370000064373016,289.01,56.137,961.11,99824.1,1.101,249.261,0.0
2022-11-20 06:00:00,17.0,9.0,0.3671436905860901,0.2557524442672729,0.1740495413541793,0.8822579979896545,0.1949999928474426,289.01,55.449,975.64,99805.47,1.243,258.871,0.0
2022-11-23 01:00:00,34.0,25.0,0.6886767148971558,0.524142861366272,0.371410071849823,0.8207722902297974,2.351999998092652,282.82,81.017,201.45,99688.5,1.19,318.406,0.004
2022-11-23 02:00:00,19.0,20.0,0.2618469595909118,0.1991110742092132,0.1409832537174224,0.9045374393463136,1.9490000009536743,284.09,72.61,481.86,99678.13,1.616,306.444,0.0
2022-11-23 03:00:00,23.0,17.0,0.2442429959774017,0.1857248693704605,0.1315049529075622,1.0754882097244265,1.3309999704360962,285.17,64.86,825.12,99652.78,2.103,302.179,0.0
2022-11-23 04:00:00,23.0,17.0,0.1289518475532531,0.0980562791228294,0.0694300606846809,1.842650413513184,0.7080000042915344,285.7,59.458,991.68,99578.45,2.504,299.944,0.0
2022-11-23 05:00:00,13.0,10.0,0.3705313801765442,0.2589858174324035,0.1767981350421905,0.3453950881958008,0.5789999961853027,285.84,54.357,1054.15,99559.81,2.813,302.221,0.0
2022-11-23 06:00:00,14.0,10.0,0.0986160859465599,0.0686287507414817,0.046662114560604,1.9953423738479608,0.8619999885559082,285.59,51.523,1024.5,99560.2,2.9,307.858,0.0
2022-11-24 01:00:00,68.0,34.0,0.848665177822113,0.6457838416099548,0.457529753446579,0.7082424759864807,2.0739998817443848,280.63,70.947,132.34,100025.39,0.253,80.91,0.0
2022-11-24 05:00:00,68.0,38.0,0.5616909265518188,0.4271155893802643,0.3024249672889709,0.4623825550079345,0.8740000128746033,285.22,61.406,830.84,99832.55,1.531,256.781,0.0
2022-11-24 06:00:00,54.0,32.0,0.5381806492805481,0.3738608658313751,0.25376957654953,0.7233961820602417,1.3289999961853027,285.3,61.425,853.88,99849.84,1.603,255.184,0.0
2022-11-25 06:00:00,46.0,21.0,0.2492812275886535,0.1895559728145599,0.1342176496982574,1.129692792892456,1.7890000343322754,286.91,57.404,1133.36,99347.96,4.593,212.825,0.012
2022-11-26 01:00:00,132.0,11.0,0.2453738749027252,0.1732168644666671,0.1192925721406936,0.9095153212547302,2.0160000324249268,276.63,51.885,769.96,99871.16,3.65,309.665,0.0
2022-11-26 02:00:00,128.0,10.0,0.1915141344070434,0.1357063353061676,0.0937635451555252,1.0959869623184204,1.465999960899353,277.1,42.74,1050.71,99882.11,3.743,305.431,0.0
2022-11-26 03:00:00,99.0,8.0,0.0759352967143058,0.0615746490657329,0.0549468211829662,1.9631792306900024,0.8730000257492065,277.51,36.525,1150.13,99866.55,3.952,300.069,0.0
2022-11-26 04:00:00,80.0,8.0,0.0508497320115566,0.0412898361682891,0.0368375368416309,2.0082497596740723,0.8420000076293945,277.64,33.271,1197.56,99794.14,4.217,296.322,0.0
2022-11-26 05:00:00,63.0,5.0,0.0319640152156353,0.0260583963245153,0.0232308208942413,1.9990110397338867,1.031000018119812,277.51,32.76,1216.5,99758.8,4.249,295.66,0.0
2022-11-26 06:00:00,60.0,8.0,0.013210860081017,0.009525598026812,0.0066767390817403,2.0045535564422607,1.4500000476837158,277.13,33.485,1172.09,99753.42,3.962,297.018,0.0
2022-11-27 01:00:00,20.0,10.0,0.2684654593467712,0.1896940022706985,0.1307460069656372,0.7548311948776245,2.510999917984009,275.35,45.639,208.18,100080.32,1.031,67.166,0.0
2022-11-27 02:00:00,10.0,8.0,0.1382143348455429,0.0986079201102256,0.0685233920812606,1.3662524223327637,1.843999981880188,277.39,39.699,267.86,100093.58,1.024,54.137,0.0
2022-11-27 03:00:00,15.0,12.0,0.1402023881673813,0.0989222899079322,0.0680961012840271,1.432661533355713,1.2300000190734863,279.16,35.292,332.84,100063.42,0.997,74.291,0.0
2022-11-27 04:00:00,15.0,15.0,0.1468602418899536,0.1034939438104629,0.0711674615740776,1.6060634851455688,0.9110000133514404,280.81,32.008,393.76,99950.68,1.148,102.583,0.0
2022-11-27 05:00:00,15.0,13.0,0.0093969451263546,0.0065037943422794,0.0043988907709717,1.9877216815948489,0.9490000009536744,281.99,30.381,415.84,99871.35,1.333,117.719,0.0
2022-11-29 05:00:00,27.0,13.0,0.3336382806301117,0.2374133318662643,0.1646204888820648,0.0611832737922668,0.5099999904632568,278.11,44.755,978.89,99523.32,4.159,308.165,0.0
2022-11-30 01:00:00,49.0,6.0,0.1131195351481437,0.0792387053370475,0.0541995093226432,1.2927463054656982,1.1699999570846558,265.64,27.82,1148.2,100934.27,4.564,306.267,0.0
2022-11-30 02:00:00,39.0,5.0,0.0974491015076637,0.0684107467532157,0.0468844585120677,1.6233537197113037,0.4320000112056732,266.41,28.809,1144.8,100908.34,4.58,306.745,0.0
2022-11-30 03:00:00,28.0,7.0,0.1041551977396011,0.072545938193798,0.049365010112524,1.7403080463409424,0.2419999986886978,267.1,28.824,1145.42,100892.01,4.589,305.422,0.0
2022-11-30 04:00:00,24.0,9.0,0.0649167522788047,0.0493633486330509,0.0349523834884166,1.938985109329224,0.8569999933242798,267.6,29.006,1150.36,100840.73,4.524,303.093,0.0
2022-11-30 05:00:00,25.0,8.0,0.0713421553373336,0.0493772067129612,0.0333966352045536,2.2037267684936523,1.1510000228881836,267.84,29.511,1145.3,100817.87,4.438,300.61,0.0
2022-11-30 06:00:00,18.0,5.0,0.0246243141591548,0.0170429330319166,0.011527114547789,2.035450220108032,1.10099995136261,267.74,30.02,1127.71,100827.48,4.27,298.846,0.0
2022-12-01 01:00:00,26.0,11.0,0.11444987,0.08702884,0.061621934,1.4006398,0.478,267.19,30.421,690.09,100976.91,1.592,307.086,0.0
2022-12-01 02:00:00,29.0,13.0,0.3973251581192016,0.3021300733089447,0.2139272540807724,0.7322296500205994,0.4099999964237213,268.3,34.522,861.89,100936.99,2.291,303.968,0.0
2022-12-01 03:00:00,21.0,8.0,0.1638434380292892,0.1245882213115692,0.0882163494825363,1.654981017112732,0.9710000157356262,269.15,37.86,1012.98,100865.93,2.699,294.286,0.0
2022-12-01 04:00:00,21.0,9.0,0.3329754769802093,0.2531979382038116,0.1792801916599273,1.6939136981964111,1.4830000400543213,269.76,40.02,1142.74,100761.43,2.96,287.7,0.0
2022-12-01 05:00:00,26.0,13.0,0.1451566517353058,0.1103785634040832,0.0781550258398056,2.24174165725708,1.840000033378601,270.14,41.173,1201.49,100712.94,3.27,284.886,0.0
2022-12-02 01:00:00,18.0,9.0,0.0634571313858032,0.0482571795582771,0.034171424806118,1.6443860530853271,0.9380000233650208,267.43,25.371,367.96,101014.53,0.854,286.314,0.0
2022-12-02 02:00:00,16.0,16.0,0.0626996457576751,0.0434754788875579,0.0294576566666364,1.880168437957764,0.481000006198883,268.79,23.073,526.36,100985.89,1.062,284.167,0.0
2022-12-02 03:00:00,12.0,15.0,0.0634916871786117,0.0439437553286552,0.0297216791659593,1.845242261886597,0.3409999907016754,270.04,24.228,686.53,100931.55,1.278,284.036,0.0
2022-12-02 04:00:00,8.0,4.0,0.0491441488265991,0.0373697094619274,0.0264601204544305,1.9983164072036743,0.6269999742507935,270.93,28.487,869.71,100839.38,1.562,279.583,0.0
2022-12-02 05:00:00,7.0,9.0,0.0578909739851951,0.0440208837389946,0.0311695728451013,1.998255968093872,0.8019999861717224,271.41,33.203,939.39,100779.82,1.583,277.26,0.0
2022-12-03 03:00:00,28.0,10.0,0.9892933964729308,0.7522712349891663,0.5326557159423828,0.8262941241264343,0.5099999904632568,277.71,67.107,1215.26,100294.52,2.369,251.795,0.001
2022-12-04 02:00:00,14.0,6.0,1.0950781106948853,0.7754782438278198,0.53551185131073,0.1725457310676574,1.434999942779541,268.8,24.345,720.96,101029.57,3.239,313.999,0.0
2022-12-04 03:00:00,12.0,11.0,1.3930248022079468,0.9742483496665956,0.6654351949691772,0.0079314112663269,1.065999984741211,269.7,25.088,767.23,100955.8,3.093,312.51,0.0
2022-12-05 01:00:00,19.0,13.0,0.0629124715924263,0.0479428619146347,0.0340089052915573,1.7249783277511597,2.130000114440918,268.6,27.41,448.91,100867.6,1.753,310.14,0.0
2022-12-05 02:00:00,17.0,12.0,0.079814925789833,0.0560677386820316,0.038447331637144,1.994606614112854,1.7890000343322754,270.0,27.604,512.04,100831.23,1.972,303.207,0.0
2022-12-05 03:00:00,12.0,13.0,0.0335170105099678,0.0254866760224103,0.0180461797863245,2.001657009124756,1.4700000286102295,271.27,27.664,614.82,100790.48,2.413,299.008,0.0
2022-12-05 04:00:00,14.0,11.0,0.0380901731550693,0.028964152559638,0.0205084551125764,2.03221082687378,1.1979999542236328,272.18,27.684,762.3,100672.18,2.804,297.387,0.0
2022-12-05 05:00:00,14.0,13.0,0.0476261787116527,0.0362154282629489,0.0256428159773349,2.086956262588501,1.0779999494552612,272.7,27.541,921.77,100604.89,3.127,298.04,0.0
2022-12-06 05:00:00,27.0,19.0,0.8465338945388794,0.6437146663665771,0.4557908177375793,2.000818490982056,0.3160000145435333,275.41,49.445,1624.08,100011.54,4.326,278.374,0.011
2022-12-07 01:00:00,84.0,51.0,0.1566280573606491,0.1191015541553497,0.0843314528465271,1.990554451942444,2.24399995803833,274.77,53.332,295.79,100131.5,1.556,224.479,0.0
2022-12-07 03:00:00,40.0,20.0,0.1601413637399673,0.1217730715870857,0.08622308075428,2.5479321479797363,1.3309999704360962,278.0,48.991,1503.31,100068.8,2.915,239.036,0.0
2022-12-07 04:00:00,39.0,20.0,0.5089879631996155,0.3870396018028259,0.2740485668182373,0.3212877511978149,0.6140000224113464,279.03,47.15,1707.11,100009.86,3.464,252.873,0.0
