idx,lat,lon,M0corr,M1corr,M2corr,M3corr,RFcorr,XGBcorr,M0rmse,M1rmse,M2rmse,M3rmse,RFrmse,XGBrmse,M0slp,M1slp,M2slp,M3slp,RFslp,XGBslp,M0re,M1re,M2re,M3re,RFre,XGBre
238451,35.5203,127.725,0.4,0.15,0.2,0.23,0.67,0.66,21.06,22.69,22.48,22.31,17.41,17.3,0.16,0.02,0.04,0.06,0.34,0.4,0.56,0.62,0.62,0.63,0.46,0.47
238461,34.8319,127.899,0.36,0.14,0.16,0.17,0.64,0.62,24.86,26.38,26.29,26.27,21.01,20.91,0.13,0.02,0.03,0.04,0.3,0.36,0.59,0.64,0.64,0.64,0.47,0.47
238471,35.415,127.8741,0.47,0.15,0.26,0.28,0.6,0.58,21.96,24.58,24.02,23.91,20.22,20.19,0.22,0.02,0.07,0.08,0.28,0.33,0.53,0.69,0.64,0.65,0.48,0.49
238491,35.3158,128.2538,0.35,0.21,0.27,0.27,0.59,0.57,20.92,21.81,21.53,21.53,18.12,18.37,0.12,0.05,0.08,0.08,0.29,0.33,0.59,0.63,0.61,0.61,0.48,0.49
238501,35.5438,128.4905,0.37,0.17,0.23,0.25,0.57,0.55,18.77,19.92,19.65,19.57,16.72,16.9,0.14,0.03,0.06,0.07,0.27,0.31,0.48,0.52,0.5,0.49,0.39,0.39
238511,35.5675,128.1654,0.39,0.16,0.25,0.25,0.59,0.6,22.24,23.82,23.36,23.35,19.8,19.33,0.15,0.03,0.07,0.07,0.27,0.33,0.48,0.54,0.51,0.52,0.4,0.4
324115,35.1458,126.9233,0.43,0.11,0.31,0.33,0.6,0.59,24.97,27.45,26.23,26.1,22.18,22.29,0.18,0.01,0.1,0.11,0.31,0.36,0.52,0.64,0.57,0.56,0.45,0.46
324121,35.1549,126.8885,0.39,0.17,0.3,0.31,0.59,0.59,26.14,27.92,27.01,26.93,23.01,22.96,0.15,0.03,0.09,0.1,0.31,0.37,0.56,0.62,0.58,0.58,0.44,0.45
324124,35.099,126.8961,0.4,-0.0,0.26,0.28,0.57,0.6,29.66,32.33,31.17,31.02,26.88,25.92,0.16,-0.0,0.07,0.08,0.25,0.32,0.56,0.7,0.61,0.61,0.52,0.51
324125,35.1619,126.8442,0.45,0.16,0.33,0.35,0.56,0.55,30.27,33.53,32.05,31.82,28.31,28.42,0.21,0.03,0.11,0.13,0.27,0.33,0.47,0.6,0.51,0.52,0.43,0.43
324133,35.1739,126.9322,0.43,0.12,0.27,0.28,0.62,0.57,26.08,28.65,27.78,27.7,22.95,23.81,0.18,0.02,0.08,0.08,0.31,0.36,0.56,0.68,0.62,0.63,0.47,0.48
324136,35.2181,126.8924,0.46,0.16,0.32,0.33,0.63,0.62,22.72,25.32,24.29,24.21,20.17,20.11,0.22,0.03,0.11,0.12,0.32,0.38,0.5,0.63,0.56,0.56,0.44,0.44
324142,35.2044,126.8078,0.38,0.16,0.29,0.31,0.58,0.56,28.3,30.2,29.29,29.12,25.03,25.38,0.15,0.03,0.09,0.1,0.3,0.34,0.52,0.59,0.55,0.56,0.44,0.44
324143,35.1576,126.8101,0.42,0.13,0.3,0.31,0.53,0.56,28.81,31.49,30.26,30.16,26.91,26.31,0.18,0.02,0.1,0.1,0.28,0.34,0.52,0.66,0.58,0.58,0.46,0.47
324148,35.1238,126.7696,0.39,0.14,0.31,0.33,0.59,0.57,33.3,35.83,34.47,34.15,29.28,29.74,0.15,0.02,0.1,0.11,0.31,0.36,0.55,0.66,0.58,0.58,0.46,0.46
324155,35.1319,126.8933,0.42,0.04,0.27,0.28,0.57,0.57,30.27,33.28,32.12,31.99,27.52,27.32,0.17,0.0,0.08,0.08,0.27,0.34,0.55,0.67,0.59,0.59,0.47,0.46
335115,35.8287,127.148,0.47,0.16,0.35,0.37,0.73,0.71,28.08,31.41,29.75,29.58,22.35,22.46,0.22,0.03,0.13,0.14,0.41,0.45,0.53,0.68,0.58,0.57,0.45,0.44
336111,34.806,126.3916,0.37,0.14,0.32,0.35,0.58,0.58,35.63,37.89,36.26,35.94,31.28,31.2,0.13,0.02,0.11,0.12,0.29,0.34,0.53,0.65,0.56,0.56,0.46,0.47
336112,34.8043,126.4346,0.32,0.11,0.24,0.28,0.53,0.51,32.99,34.63,33.81,33.48,29.79,29.99,0.1,0.01,0.06,0.09,0.23,0.26,0.58,0.64,0.59,0.59,0.5,0.5
336121,34.7411,127.726,0.39,0.17,0.27,0.26,0.62,0.61,28.9,30.91,30.17,30.24,24.89,24.88,0.15,0.03,0.08,0.08,0.31,0.36,0.57,0.64,0.59,0.59,0.44,0.45
336124,34.8502,127.7246,0.39,0.08,0.21,0.22,0.59,0.6,27.06,29.27,28.68,28.66,23.97,23.49,0.15,0.01,0.05,0.05,0.27,0.34,0.52,0.6,0.57,0.57,0.45,0.44
336125,34.7546,127.7029,0.32,0.16,0.24,0.24,0.61,0.61,27.11,28.26,27.8,27.82,22.92,22.71,0.1,0.03,0.06,0.06,0.3,0.36,0.62,0.65,0.62,0.62,0.46,0.47
336127,34.7774,127.6524,0.4,0.11,0.22,0.24,0.65,0.62,24.52,26.65,26.17,26.05,20.58,21.02,0.16,0.01,0.05,0.06,0.34,0.38,0.55,0.62,0.59,0.59,0.43,0.43
